1.3980 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
7.4625 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
9.5542 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

9.5554 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fc5849de6a0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fc520ca7cd0>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.5557 	EXP 	window1: mouseVisible = True
9.5567 	EXP 	window1: mouseVisible = False
9.5567 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
9.5568 	EXP 	window1: recordFrameIntervals = False
9.7253 	EXP 	window1: recordFrameIntervals = True
9.7921 	WARNING 	t of last frame was 21.11ms (=1/47)
9.8590 	WARNING 	t of last frame was 21.28ms (=1/46)
9.9256 	WARNING 	t of last frame was 21.01ms (=1/47)
9.9922 	WARNING 	t of last frame was 21.18ms (=1/47)
10.0587 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
11.3922 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

13.3516 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1, 1, 1]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
13.3586 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.3, 0.3, 0.3]), colorSpace='rgb', contrast=0.3, depth=-1.0, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1.0, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.2, 0.2]), tex='sin', texRes=128.0, units='height', win=Window(...))
13.3611 	EXP 	Created sequence: random, trialTypes=1, nReps=100, seed=None
13.3615 	EXP 	New trial (rep=0, index=0): None
13.3717 	EXP 	grating: ori = -2.0
13.3717 	EXP 	fixation: autoDraw = True
14.3707 	EXP 	fixation: autoDraw = False
14.3707 	EXP 	grating: autoDraw = True
14.3707 	EXP 	grating: tex = 'sin'
14.6748 	EXP 	grating: autoDraw = False
15.6975 	EXP 	New trial (rep=1, index=0): None
15.7032 	EXP 	fixation: autoDraw = False
15.7032 	EXP 	grating: autoDraw = False
15.7032 	EXP 	grating: ori = 4.0
15.7032 	EXP 	fixation: autoDraw = True
15.7457 	DATA 	Keypress: down
16.7082 	EXP 	fixation: autoDraw = False
16.7082 	EXP 	grating: autoDraw = True
17.0043 	EXP 	grating: autoDraw = False
17.4927 	EXP 	New trial (rep=2, index=0): None
17.5116 	DATA 	Keypress: down
17.5163 	EXP 	fixation: autoDraw = False
17.5163 	EXP 	grating: autoDraw = False
17.5163 	EXP 	grating: ori = 0.0
17.5163 	EXP 	fixation: autoDraw = True
18.5082 	EXP 	grating: autoDraw = True
18.5247 	EXP 	fixation: autoDraw = False
18.8043 	EXP 	grating: autoDraw = False
19.6460 	EXP 	New trial (rep=3, index=0): None
19.6489 	DATA 	Keypress: up
19.6574 	EXP 	fixation: autoDraw = False
19.6574 	EXP 	grating: autoDraw = False
19.6574 	EXP 	grating: ori = 3.0
19.6574 	EXP 	fixation: autoDraw = True
20.6581 	EXP 	fixation: autoDraw = False
20.6581 	EXP 	grating: autoDraw = True
20.9753 	EXP 	grating: autoDraw = False
21.7291 	EXP 	New trial (rep=4, index=0): None
21.7316 	DATA 	Keypress: down
21.7372 	EXP 	fixation: autoDraw = False
21.7372 	EXP 	grating: autoDraw = False
21.7372 	EXP 	grating: ori = 1.0
21.7372 	EXP 	fixation: autoDraw = True
22.7378 	EXP 	fixation: autoDraw = False
22.7378 	EXP 	grating: autoDraw = True
23.0417 	EXP 	grating: autoDraw = False
23.5950 	EXP 	New trial (rep=5, index=0): None
23.5975 	DATA 	Keypress: up
23.6039 	EXP 	fixation: autoDraw = False
23.6039 	EXP 	grating: autoDraw = False
23.6039 	EXP 	grating: ori = 0.0
23.6039 	EXP 	fixation: autoDraw = True
24.6043 	EXP 	fixation: autoDraw = False
24.6043 	EXP 	grating: autoDraw = True
24.9079 	EXP 	grating: autoDraw = False
25.5420 	EXP 	New trial (rep=6, index=0): None
25.5447 	DATA 	Keypress: up
25.5500 	EXP 	fixation: autoDraw = False
25.5500 	EXP 	grating: autoDraw = False
25.5500 	EXP 	grating: ori = -2.0
25.5500 	EXP 	fixation: autoDraw = True
26.5417 	EXP 	grating: autoDraw = True
26.5544 	EXP 	fixation: autoDraw = False
26.8583 	EXP 	grating: autoDraw = False
